"No.","Time","Source","Destination","Protocol","Length","Info"
"25831","1792.719418","128.3.161.193","131.243.29.227","TCP","74","ncp > 1032 [PSH, ACK] Seq=4724836 Ack=35691 Win=22248 Len=20"
"25832","1792.768633","131.243.29.227","128.3.161.193","TCP","90","1032 > ncp [PSH, ACK] Seq=35691 Ack=4724856 Win=63537 Len=36"
"25833","1792.769508","128.3.161.193","131.243.29.227","TCP","60","ncp > 1032 [ACK] Seq=4724856 Ack=35727 Win=22212 Len=0"
"25834","1792.770382","128.3.161.193","131.243.29.227","TCP","1434","ncp > 1032 [ACK] Seq=4724856 Ack=35727 Win=22212 Len=1380"
"25835","1792.770507","128.3.161.193","131.243.29.227","TCP","1434","ncp > 1032 [ACK] Seq=4726236 Ack=35727 Win=22212 Len=1380"
"25836","1792.770632","128.3.161.193","131.243.29.227","TCP","1408","ncp > 1032 [PSH, ACK] Seq=4727616 Ack=35727 Win=22212 Len=1354"
"25837","1793.132286","131.243.29.227","128.3.161.193","TCP","60","1032 > ncp [ACK] Seq=35727 Ack=4726236 Win=64860 Len=0"
"25838","1793.332914","131.243.29.227","128.3.161.193","TCP","60","1032 > ncp [ACK] Seq=35727 Ack=4727616 Win=64860 Len=0"
"25839","1793.349279","131.243.29.227","128.3.161.193","TCP","90","1032 > ncp [PSH, ACK] Seq=35727 Ack=4728970 Win=63506 Len=36"
"25840","1793.350279","128.3.161.193","131.243.29.227","TCP","60","ncp > 1032 [ACK] Seq=4728970 Ack=35763 Win=22176 Len=0"
"25841","1793.351152","128.3.161.193","131.243.29.227","TCP","1434","ncp > 1032 [ACK] Seq=4728970 Ack=35763 Win=22176 Len=1380"
"25842","1793.351278","128.3.161.193","131.243.29.227","TCP","1434","ncp > 1032 [ACK] Seq=4730350 Ack=35763 Win=22176 Len=1380"
"25843","1793.351402","128.3.161.193","131.243.29.227","TCP","1434","ncp > 1032 [ACK] Seq=4731730 Ack=35763 Win=22176 Len=1380"
"25844","1793.351652","128.3.161.193","131.243.29.227","TCP","1434","ncp > 1032 [ACK] Seq=4733110 Ack=35763 Win=22176 Len=1380"
"25845","1793.351777","128.3.161.193","131.243.29.227","TCP","1434","ncp > 1032 [ACK] Seq=4734490 Ack=35763 Win=22176 Len=1380"
"25846","1793.351902","128.3.161.193","131.243.29.227","TCP","1434","ncp > 1032 [ACK] Seq=4735870 Ack=35763 Win=22176 Len=1380"
"25847","1793.352027","128.3.161.193","131.243.29.227","TCP","1434","ncp > 1032 [ACK] Seq=4737250 Ack=35763 Win=22176 Len=1380"
"25848","1793.352152","128.3.161.193","131.243.29.227","TCP","1434","ncp > 1032 [ACK] Seq=4738630 Ack=35763 Win=22176 Len=1380"
"25849","1793.352276","128.3.161.193","131.243.29.227","TCP","1434","ncp > 1032 [ACK] Seq=4740010 Ack=35763 Win=22176 Len=1380"
"25850","1793.352401","128.3.161.193","131.243.29.227","TCP","1434","ncp > 1032 [ACK] Seq=4741390 Ack=35763 Win=22176 Len=1380"
"25851","1793.352526","128.3.161.193","131.243.29.227","TCP","1434","ncp > 1032 [ACK] Seq=4742770 Ack=35763 Win=22176 Len=1380"
"25852","1793.352651","128.3.161.193","131.243.29.227","TCP","1208","ncp > 1032 [ACK] Seq=4744150 Ack=35763 Win=22176 Len=1154"
"25853","1793.423233","131.243.160.249","198.125.133.14","TCP","1314","[TCP Retransmission] https > accelenet [PSH, ACK] Seq=118209 Ack=7973 Win=65520 Len=1260"
